year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2012,MI,Michigan,9882519,44962,701,4635,,10423,29203,249249,65560,158609,25080
2012,MN,Minnesota,5379646,12419,99,1638,,3475,7207,138152,25378,104316,8458
2012,MO,Missouri,6024522,27189,390,1527,,5782,19490,199813,42510,140971,16332
2012,MS,Mississippi,2986450,7769,213,819,,2277,4460,83933,28084,51520,4329
2012,MT,Montana,1005494,2803,29,392,,202,2180,26102,3920,20484,1698
2012,NC,North Carolina,9748364,34464,479,1984,,9392,22609,328594,99323,213151,16120
2012,ND,North Dakota,701345,1723,25,279,,127,1292,14297,2429,10687,1181
2012,NE,Nebraska,1855350,4802,52,710,,1128,2912,51203,8745,38301,4157
2012,NH,New Hampshire,1321617,2841,15,486,,471,1869,32074,5988,25024,1062
2012,NJ,New Jersey,8867749,25727,388,1035,,11385,12919,181481,42338,122662,16481
2012,NM,New Mexico,2083540,11660,116,957,,1847,8740,75094,21384,48247,5463
2012,NV,Nevada,2754354,16763,124,931,,4918,10790,77510,22120,45372,10018
2012,NY,New York,19576125,79535,683,2837,,28633,47382,375268,64389,293562,17317
2012,OH,Ohio,11553031,34827,478,3813,,15396,15140,370435,105312,245372,19751
2012,OK,Oklahoma,3815780,18102,220,1622,,3248,13012,130969,36094,83131,11744
2012,OR,Oregon,3899801,9638,91,1159,,2419,5969,126417,22051,94114,10252
2012,PA,Pennsylvania,12764475,45384,707,3371,,15735,25571,276562,57040,204409,15113
2012,RI,Rhode Island,1050304,2657,26,292,,715,1614,27039,5929,18478,2632
2012,SC,South Carolina,4723417,26474,332,1712,,4511,19919,181049,45222,122340,13487
2012,SD,South Dakota,834047,2701,23,600,,157,1921,17326,3280,12973,1073
2012,TN,Tennessee,6454914,41213,400,2047,,8151,30615,217925,56231,148731,12963
2012,TX,Texas,26060796,106475,1148,7715,,30385,67227,876459,205002,606425,65032
2012,UT,Utah,2854871,5939,52,975,,1105,3807,86284,13095,67157,6032
2012,VA,Virginia,8186628,15676,322,1505,,4718,9131,178434,29651,139654,9129
2012,VT,Vermont,625953,891,8,131,,114,638,15653,4179,11014,460
2012,WA,Washington,6895318,20553,217,2250,,5801,12285,254377,61376,166338,26663
2012,WI,Wisconsin,5724554,16254,169,1228,,4692,10165,140780,27931,104619,8230
2012,WV,West Virginia,1856680,5943,70,415,,835,4623,44500,11466,30800,2234
2012,WY,Wyoming,576626,1161,14,154,,61,932,13222,2125,10513,584
2013,,,316497531,1168298,14319,82109,113695,345093,726777,8651892,1932139,6019465,700288
2013,AK,Alaska,737259,4709,34,657,925,623,3127,21211,2917,16599,1695
2013,AL,Alabama,4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563
2013,AR,Arkansas,2958765,13705,158,1135,1490,2261,9796,106477,30369,70430,5678
2013,AZ,Arizona,6634997,27576,355,2344,3174,6656,17391,223294,48292,158036,16966
